     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     16384,         3,         0,      20,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,        10,         0,      13,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         7,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         2,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,        11,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         3,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         4,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         9,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         2,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         7,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         9,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         6,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,        10,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         9,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         7,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
     16384,         2,         0,       2,HBP_etB_corr_big_sr_400_0.96875_1_0_2_et1,4fed23857936994c40b37f39bc88605c908504f452a6216dcbaa2256fed5f631,"{""d"":6,""p"":0.002,""rounds"":6}","{""avg_itr"":1,""base"":1}"
